Question,Option1,Option2,Option3,Option4,Correct Answer,Topic
Which metal is the best conductor of electricity?,Aluminum,Copper,Silver,Gold,Silver,Chemistry
What is the SI unit of pressure?,Pascal,Newton,Kilogram,Hg,Pascal,Chemistry
Which subatomic particle has a negative charge?,Proton,Neutron,Electron,Photon,Electron,Chemistry
What is the chemical formula for ammonia?,NH3,O2,H2O2,H2O3,NH3,Chemistry
What is the process of rusting an example of?,Sublimation,Condensation,Evaporation,Deposition,Oxidation,Chemistry
Which metal is liquid at room temperature?,Iron,Zinc,Mercury,Sodium,Mercury,Chemistry
Which gas is responsible for the depletion of the ozone layer?,Ozone,Carbon monoxide,Nitrous oxide,Carbon dioxide,Ozone,Chemistry
Which type of bond shares electrons between atoms?,Ionic bond,Hydrogen bond,Covalent bond,Metallic bond,Covalent bond,Chemistry
Which gas is commonly known as laughing gas?,CO2,N2O,H2O,NO2,N2O,Chemistry
What is the process of a substance changing directly from a solid to a gas called?,Evaporation,Condensation,Sublimation,Deposition,Sublimation,Chemistry
What is the chemical symbol for carbon dioxide?,CO,CO3,CO2,CO2,CO2,Chemistry
What is the pH of a solution with a pH of 3?,5,7,9,11,3,Chemistry
Which element is present in all organic compounds?,Hydrogen,Carbon,Oxygen,Nitrogen,Carbon,Chemistry
What is the chemical formula for salt?,NaCl,NaHCO3,KCl,K2SO4,NaCl,Chemistry
What is the process of separating a solid from a liquid using a filter called?,Decantation,Filtration,Distillation,Chromatography,Filtration,Chemistry
What is the boiling point of water in Celsius?,100,0,50,373,100,Chemistry
What is the chemical formula for ethanol?,CH4,C2H6O,C2H5OH,C2H4O,C2H5OH,Chemistry
What type of reaction occurs when an alcohol reacts with a carboxylic acid?,Substitution,Addition,Condensation,Esterification,Esterification,Chemistry
What functional group is present in an alcohol?,Carbonyl,Hydroxyl,Alkyl,Ester,Hydroxyl,Chemistry
What is the name of the process by which alcohols are converted to alkenes?,Dehydration,Hydration,Halogenation,Polymerization,Dehydration,Chemistry
What is the general formula for an alkane?,CnH2n+2,CnH2n,CnH2n+1OH,CnH2n+2O,CnH2n+2,Chemistry
What is the IUPAC name for CH3CH2CH2OH?,Methanol,Ethanol,Propanol,Butanol,Ethanol,Chemistry
What is the main functional group present in a carboxylic acid?,Carbonyl,Carboxyl,Hydroxyl,Carboxyl,Carboxyl,Chemistry
What is the product when ethanoic acid reacts with ethanol?,Ester,Alcohol,Aldehyde,Ketone,Ester,Chemistry
What type of reaction occurs when a carboxylic acid reacts with an alcohol?,Substitution,Hydrolysis,Esterification,Esterification,Esterification,Chemistry
What is the name of the functional group in an alkene?,Carbonyl,Alkyl,Alkene,Halide,Alkene,Chemistry
What is the general formula for an alkene?,CnH2n,CnH2n+2,CnH2n+1,CnH2n+2O,CnH2n,Chemistry
What type of reaction occurs when an alkene reacts with hydrogen?,Addition,Substitution,Oxidation,Reduction,Addition,Chemistry
What functional group is present in an aldehyde?,Hydroxyl,Carboxyl,Alkene,Ketone,Hydroxyl,Chemistry
What is the product when ethanol is oxidized?,Ethanal,Ethanoic acid,Ethanoic acid,Ethylene,Ethanoic acid,Chemistry
What is the IUPAC name for CH3CHO?,Propanal,Propanoic acid,Propanone,Propenal,Propanal,Chemistry
What is the main functional group present in an ester?,Ester,Ether,Aldehyde,Ketone,Ester,Chemistry
What type of reaction occurs when an ester reacts with an alcohol?,Addition,Condensation,Hydrolysis,Reduction,Esterification,Chemistry
What is the product when ethanoic acid reacts with ethanol in the presence of a strong acid catalyst?,Ester,Ether,Alcohol,Ester,Ester,Chemistry
What functional group is present in a ketone?,Ethyl,Ketone,Hydroxyl,Carbonyl,Ketone,Chemistry
What is the product when propanone reacts with ethanal?,Butanol,Propanal,Propene,Propanone,Propenal,Chemistry
What is the chemical name for vinegar?,Sulfuric acid,Acetic acid,Hydrochloric acid,Nitric acid,Acetic acid,Chemistry
What is the chemical symbol for sodium bicarbonate?,NaHCO3,NaOH,NH4CO3,Na2CO3,NaHCO3,Chemistry
What is the process of separating a solid from a liquid using a filter called?,Evaporation,Condensation,Sublimation,Filtration,Filtration,Chemistry
Which of the following is not a type of plate boundary?,Convergent boundary,Divergent boundary,Conservative boundary,Isolated boundary,Isolated boundary,Geography
Which of the following is the largest freshwater lake by surface area?,Lake Superior,Lake Victoria,Lake Baikal,Great Bear Lake,Lake Superior,Geography
The 'Roaring Forties' refer to which oceanic phenomenon?,Intertropical Convergence Zone,Westerlies,Trade winds,Antarctic Circumpolar Current,Westerlies,Geography
The 'Ring of Fire' is associated with which geological phenomenon?,Volcanic activity,Earthquakes,Tidal waves,Glacial movement,Volcanic activity,Geography
The term 'El Niño' is associated with,Oceanic phenomenon,Atmospheric phenomenon,Climatic phenomenon,All of the above,All of the above,Geography
The Richter scale measures the,Intensity of earthquakes,Magnitude of earthquakes,Frequency of earthquakes,Duration of earthquakes,Magnitude of earthquakes,Geography
Which of the following is not a primary greenhouse gas?,Carbon dioxide (CO2),Methane (CH4),Nitrous oxide (N2O),Oxygen (O2),Oxygen (O2,Geography
The Himalayas are formed as a result of,Convergent plate boundary,Divergent plate boundary,Transform plate boundary,Subduction zone,Convergent plate boundary,Geography
The Prime Meridian passes through which city?,Greenwich,Paris,New York,Berlin,Greenwich,Geography
Which of the following is a tributary of the Amazon River?,Orinoco River,Paraguay River,Rio Negro,Yukon River,Rio Negro,Geography
The term 'Monsoon' is derived from which language?,Hindi,Arabic,Chinese,Sanskrit,Sanskrit,Geography
The 'Great Barrier Reef' is located off the coast of which country?,Australia,Brazil,India,Japan,Australia,Geography
Which of the following deserts is not located in Africa?,Sahara Desert,Kalahari Desert,Atacama Desert,Namib Desert,Atacama Desert,Geography
The 'Sahel' region is located between which two geographical features?,Sahara Desert and Arabian Desert,Sahara Desert and Savannah,Arabian Desert and Gobi Desert,Amazon Rainforest and Congo Basin,Sahara Desert and Savannah,Geography
Which of the following is not a factor influencing climate?,Latitude,Altitude,Ocean currents,Population density,Population density,Geography
The 'Taiga' biome is characterized by which type of vegetation?,Coniferous forests,Tropical rainforests,Grasslands,Deciduous forests,Coniferous forests,Geography
Which of the following is an example of a renewable energy resource?,Coal,Natural gas,Solar power,Petroleum,Solar power,Geography
Which of the following is not a type of soil?,Loamy soil,Sandy soil,Silty soil,Calcium soil,Calcium soil,Geography
The 'Ozone Layer' is found in which layer of the Earth's atmosphere?,Troposphere,Stratosphere,Mesosphere,Thermosphere,Stratosphere,Geography
The process of soil erosion can be mitigated by,Afforestation,Overgrazing,Deforestation,Urbanization,Afforestation,Geography
Which of the following rivers does not originate in India?,Ganges,Yamuna,Brahmaputra,Mekong,Mekong,Geography
The 'Green Revolution' in India primarily aimed to increase the production of,Wheat,Rice,Millet,Pulses,Wheat,Geography
The 'Tropic of Cancer' passes through how many Indian states?,5,6,7,8,6,Geography
Which of the following is a landlocked country in South America?,Brazil,Argentina,Bolivia,Chile,Bolivia,Geography
Which of the following is the largest rainforest in the world?,Amazon Rainforest,Congo Rainforest,Borneo Rainforest,Daintree Rainforest,Amazon Rainforest,Geography
The 'Indus Water Treaty' was signed between India and which other country?,China,Nepal,Pakistan,Bangladesh,Pakistan,Geography
The 'Marina Trench' is located in which ocean?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,Pacific Ocean,Geography
The 'Doldrums' are associated with which atmospheric phenomenon?,Low pressure zone,High pressure zone,Westerlies,Trade winds,Low pressure zone,Geography
The 'Fertile Crescent' is located in which region?,South America,North America,Middle East,Africa,Middle East,Geography
Which of the following is not a component of soil?,Humus,Minerals,Organic matter,Water vapor,Water vapor,Geography
Which of the following mountain ranges is not located in Europe?,Alps,Pyrenees,Andes,Carpathians,Andes,Geography
The 'Gobi Desert' is located primarily in which country?,China,Mongolia,Kazakhstan,Russia,Mongolia,Geography
The 'West African Monsoon' brings rainfall to which region?,East Africa,West Africa,Southern Africa,North Africa,West Africa,Geography
Which of the following is not a factor influencing soil formation?,Climate,Topography,Vegetation,Population density,Population density,Geography
The 'Mekong River' flows through which country?,China,Thailand,Cambodia,All of the above,All of the above,Geography
The 'Davis Strait' separates which two landmasses?,Greenland and Iceland,Greenland and Canada,Canada and Alaska,Norway and Iceland,Greenland and Canada,Geography
The 'Sargasso Sea' is known for its abundance of,Seaweed,Coral reefs,Phytoplankton,Marine mammals,Seaweed,Geography
The 'Aleutian Islands' are part of which country?,Russia,Canada,United States,Japan,United States,Geography
The 'Biosphere Reserve' concept aims to conserve,Wildlife habitats,Genetic resources,Ecosystems,All of the above,All of the above,Geography
The 'Saffir-Simpson Scale' is used to measure the,Wind speed of hurricanes,Earthquake magnitude,Intensity of tornadoes,Severity of droughts,Wind speed of hurricanes,Geography
Which of the following countries is not located in the Horn of Africa?,Ethiopia,Somalia,Kenya,Tanzania,Tanzania,Geography
The 'Greenwich Mean Time (GMT)' is the standard time reference for which location?,"Greenwich, England","New York, USA","Paris, France","Tokyo, Japan","Greenwich, England",Geography
The 'Amazon Basin' is drained by which river?,Amazon River,Paraguay River,Orinoco River,Rio de la Plata,Amazon River,Geography
Which of the following is not a type of glacier?,Valley glacier,Cirque glacier,Moraine glacier,Tundra glacier,Tundra glacier,Geography
The 'Doppler Effect' is associated with which natural phenomenon?,Ocean tides,Earthquakes,Sound waves,Volcanic eruptions,Sound waves,Geography
The 'Tides' are primarily caused by,Gravitational pull of the Moon,Gravitational pull of the Sun,Rotation of the Earth,Solar wind,Gravitational pull of the Moon,Geography
The 'Karakoram Highway' connects which two countries?,Pakistan and India,India and China,Pakistan and China,Afghanistan and China,Pakistan and China,Geography
Which of the following is the longest river in South America?,Amazon River,Orinoco River,Paraná River,Magdalena River,Amazon River,Geography
The 'Dead Sea' is located between which two countries?,Israel and Lebanon,Israel and Jordan,Jordan and Iraq,Israel and Syria,Israel and Jordan,Geography
The 'Gobi Desert' is known for its frequent occurrence of,Sandstorms,Snowstorms,Hurricanes,Tsunamis,Sandstorms,Geography
